contract_id,bruto_premie,netto_premie,lasten,kosten,splitsingskosten,kwijtingkosten,commissie,totaal_te_betalen
39474084,465.64,372.13,93.51,0.00,0.00,0.00,68.94,465.64
39477531,574.95,469.97,104.98,0.00,0.00,0.00,85.85,574.95
39479106,626.13,499.82,116.31,10.00,10.00,0.00,86.41,626.13
39479109,624.69,496.65,128.04,0.00,0.00,0.00,86.34,624.69
39479289,278.77,240.84,37.93,0.00,0.00,0.00,48.17,278.77
39479351,651.32,516.83,134.49,0.00,0.00,0.00,70.96,651.32
39480240,6962.71,6176.82,785.89,0.00,0.00,0.00,760.47,6962.71
39480527,698.76,603.68,95.08,0.00,0.00,0.00,155.77,698.76
39480530,221.91,203.12,18.79,0.00,0.00,0.00,40.62,221.91
39480535,409.11,396.31,12.80,0.00,0.00,0.00,29.72,0.00
39480538,299.63,274.27,25.36,0.00,0.00,0.00,54.85,299.63
39480541,120.86,106.25,14.61,0.00,0.00,0.00,21.25,120.86
39481188,673.55,558.57,114.98,0.00,0.00,0.00,82.10,673.55
39482820,443.00,354.32,88.68,0.00,0.00,0.00,65.91,443.00
39483519,2395.21,2069.30,325.91,0.00,0.00,0.00,106.49,2395.21
39485345,1121.67,896.53,225.14,0.00,0.00,0.00,97.75,1121.67
39489222,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00
39490632,549.51,474.73,74.78,0.00,0.00,0.00,127.10,549.51
39490694,751.09,613.62,137.47,0.00,0.00,0.00,110.16,751.09
39491726,775.21,627.70,147.51,0.00,0.00,0.00,86.55,775.21
39491805,704.86,608.94,95.92,0.00,0.00,0.00,163.06,704.86
39493392,1029.33,770.99,212.08,46.26,46.26,0.00,132.51,1029.33
39494241,1739.48,1387.39,352.09,0.00,0.00,0.00,262.67,1739.48
39495753,2523.36,2444.40,78.96,0.00,0.00,0.00,183.33,2523.36
39495920,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39497439,325.40,308.57,13.71,3.12,0.00,0.00,6.23,0.00
39497814,1669.91,1319.63,350.28,0.00,0.00,0.00,230.01,1669.91
39499385,2587.05,1941.69,528.86,116.50,116.50,0.00,369.52,2587.05
39501144,980.66,763.25,202.15,15.26,15.26,0.00,131.19,980.66
39501453,418.69,361.73,56.96,0.00,0.00,0.00,96.40,418.69
39501996,854.27,691.46,162.81,0.00,0.00,0.00,124.33,854.27
39502748,917.29,727.48,189.81,0.00,0.00,0.00,129.34,917.29
39502749,172.19,149.97,22.22,0.00,0.00,0.00,38.76,172.19
39502752,111.46,102.02,9.44,0.00,0.00,0.00,22.96,111.46
39503577,229.78,184.20,45.58,0.00,0.00,0.00,32.57,229.78
39503640,743.15,604.74,138.41,0.00,0.00,0.00,104.31,743.15
39503643,215.75,192.87,22.88,0.00,0.00,0.00,45.21,215.75
39504048,1274.60,1021.06,253.54,0.00,0.00,0.00,189.84,1274.60
39504054,650.57,512.36,127.97,10.24,10.24,0.00,88.58,650.57
39505131,620.64,494.09,126.55,0.00,0.00,0.00,89.67,620.64
39508319,1030.66,757.80,212.23,60.63,60.63,0.00,130.27,1030.66
39509685,3395.54,2797.59,597.95,0.00,0.00,0.00,472.41,3395.54
39509757,920.38,716.92,189.12,14.34,14.34,0.00,123.32,920.38
39510057,628.85,510.53,103.01,15.31,15.31,0.00,76.94,628.85
39510168,1202.64,991.42,211.22,0.00,0.00,0.00,145.11,1202.64
39510681,76.18,69.73,6.45,0.00,3.81,0.00,13.95,76.18
39511316,862.97,693.34,169.63,0.00,0.00,0.00,119.48,862.97
39512324,978.55,856.32,122.23,0.00,0.00,0.00,217.56,978.55
