betadr_id,bet_id,address_id,opmerking,naam,facturatieadres,correspondentieadres,domicilieadres
31877152,140725216,45282568,,,1,1,1
31877158,140725219,45282577,,,0,0,0
31877173,140725240,45282598,,,1,1,1
31880458,140725809,45287047,,,1,1,1
31878064,140726086,45284095,,,1,0,1
31878082,140726107,45284125,,,0,0,1
31879117,140726959,45285010,,,1,1,1
31879245,140727063,45285255,,,1,1,1
31879854,140727163,45286356,,,0,0,1
31879678,140727454,45286054,,,0,0,1
31879761,140727543,45286185,,,1,1,1
31879864,140727628,45286366,,,1,1,1
31880421,140728203,45286995,,,1,1,1
31880491,140728252,45287095,,,1,1,1
31880797,140728559,45287631,,,1,1,1
31880809,140728575,45287649,,,1,1,1
31880944,140728692,45287838,,,1,1,1
31910135,140728708,45338843,,,0,0,0
31881049,140728791,45288009,,,1,1,1
31881070,140728808,45288048,,,1,1,1
31881087,140728825,45288093,,,1,1,1
31881467,140729147,45288797,,,1,0,1
31881581,140729245,45288967,,,1,1,1
31881583,140729247,45288969,,,1,1,1
31881613,140729273,45289017,,,1,0,1
31881647,140729299,45289117,,,1,1,1
31882215,140729827,45290193,,,1,1,1
31882798,140730386,45290810,,,1,0,1
31882799,140730387,45290815,,,1,0,1
31883051,140730627,45291069,,,1,1,1
31883053,140730629,45291073,,,1,1,1
