contract_id,splitsingscode_premie,totale_premie,netto_premie,lasten,kosten,splitsingskosten,commissie,totaal_te_betalen,afkoopwaarde_einde_vorigjaar,huidige_stand
33685905,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685909,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685925,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685929,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685937,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685941,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685945,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685949,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685957,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685961,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685965,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685973,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685981,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685989,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685993,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685997,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686005,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686009,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686013,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686021,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686025,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686029,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686037,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686041,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686045,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686049,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686053,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686057,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686065,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686069,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686073,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686089,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686093,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686101,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686105,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
