guid_fid,blockretours_id,GUID,aantal,communicatietekst
24479628,72359202,PSII-324583386-001,2,"Onderwerp: Geschil van Starwerk23Op datum van 06/11/2022 op het contract 010624017510Onze referentie: 0604J2117001Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24479905,72359616,PSII-324564434-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24479908,72359619,E03A4371FB9641EDA674C3DDEA309371,1,
24480157,72360072,PSII-324566875-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24480424,72360585,efa5bb93-8a7d-468c-a02b-4b606a0db96d,1,
24480750,72361200,PSII-324593697-01,3,
24481552,72363234,AE363E6BE2744EB38E4C5F15742B687E,1,
24481573,72363256,PSII-324608891-01,8,
24482374,72364368,ab8bf08c-9213-4b95-9624-0afe72889530,1,
24483004,72366201,3d33bbd2-e8bc-4be5-b006-36c33532bd31,3,
24483753,72367504,PSII-324634607-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24485391,72370626,db4c4ba3-535c-4db4-b9a7-ba7bf9ec24bf,8,
24486468,72373119,6FAA713FB5F44017ABB888A8D2E906A1,1,
24486519,72373242,d6735d1c-b19a-4359-8d86-10cab829c0fb,7,
24486544,72373272,f8a7540e-9d50-47c9-bf15-27f5d49c141e,6,
24486906,72374245,6a003b2e-6ff7-47e0-a610-ed902c8ccab1,4,
24487611,72375223,PSII-324719414-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24487935,72375669,PSII-324717992-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24488914,72377841,2d18ef55-259f-4955-86fd-9f1076644cdc,1,
24488926,72377865,PSII-324872748-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24489340,72378549,PSII-324892898-01,3,
24489688,72379204,086ac9c3-c6b3-4b50-af37-c8fa0a514be1,7,
24490315,72380557,6f18ad0f-bf9e-4f95-92ac-778034744f84,1,
24490318,72380560,PSII-324907233-001,2,"Onderwerp: Geschil van NewdalOp datum van 19/02/2022 op het contract 010623769653Onze referentie: 0G01D9311402Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24490321,72380563,PSII-324907233-002,2,"Onderwerp: Geschil van NewdalOp datum van 19/02/2022 op het contract 010623769653Onze referentie: 0G01D9311402Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24491253,72382483,85d11956-b01d-4009-a18c-2bc1b09a0e9f,1,
24491719,72383844,0fcdf09e-c75c-4686-8f84-6d6b49c9b172,2,
24491722,72383847,8672820d-38bc-42d2-9520-b4828264543a,1,
24491725,72383850,c142f74b-4ba5-4af4-84d4-92eef043eee3,3,
24491728,72383853,ab1663fe-b36e-4ecf-876a-9bc2e052b991,4,
24492505,72386044,c86fafa2-9ae8-4700-9413-7908fc5c1024,6,
24492736,72386436,PSII-325024544-001,1,"Onderwerp: Geschil van Selma AyOp datum van 17/11/2022 op het contract 010624266763Onze referentie: 0601D8954501Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24492745,72386445,PSII-325024544-002,1,"Onderwerp: Geschil van Selma AyOp datum van 17/11/2022 op het contract 010624266763Onze referentie: 0601D8954501Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24492798,72386521,7dec0c6f-1303-4116-9e32-4a66f85a722a,5,
24492853,72386634,59f49aed-b009-4cd2-ac08-13bcd316fd44,5,
24493188,72387279,42FFA522AFB24825BCAF938FBEAC6CBD,1,
24493212,72387309,PSII-325094341-01,8,
24494794,72389853,f3e8c8b4-481c-472d-ae20-948e934a6a98,4,
24495996,72411087,PSII-326101594-03,2,
24496659,72418009,d5ce0b5f-21df-4585-88d0-0c991132fad9,4,
24497598,72425259,492539f6-0a0b-4ae8-93a7-ac75cd46c09c,5,
24497632,72425443,564A3CE479314EFAA1ABB458F4AF27B3,1,
24499677,72443395,95cb82cd-d939-483d-9b62-f0ea5d873c1f,4,
24500812,72445168,PSII-326392416-001,1,"Onderwerp: Geschil van Selma AyOp datum van 17/11/2022 op het contract 010624266763Onze referentie: 0601D8954501Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24500815,72445171,PSII-326392416-002,1,"Onderwerp: Geschil van Selma AyOp datum van 17/11/2022 op het contract 010624266763Onze referentie: 0601D8954501Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24501381,72446061,PSII-326378540-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24501469,72446203,PSII-326379838-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24501516,72446292,PSII-326380737-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24503574,72451320,PSII-326469802-01,1,
24504084,72452020,065bf57e-30df-40d9-adff-089291f9eae3,1,
24504628,72452853,3D5A7BB6FE4B4FA3B73DD6A3F0DA4AB3,1,
24504846,72453154,3df8dea5-acb1-484d-9753-f47dbe1d6a7e,7,
24505456,72459910,ad4a5420-6d3d-415e-a699-df19a4d6a8a8,4,
24506556,72494716,PSII-326631291-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24506746,72494965,PSII-326633227-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24506823,72495057,PSII-326634069-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24507336,72497976,PSII-326655905-001,1,"Onderwerp: Geschil van P J CompanyOp datum van 23/07/2022 op het contract 010624043029Onze referentie: 0603J7862401Bijgevoegd vindt u een aan u geadresseerde communicatie."
24507817,72499101,PSII-326663499-01,2,
24508003,72499611,PSII-326666205-002,3,"Onderwerp: Geschil van Mehmet TekerOp datum van 26/10/2021 op het contract 010624012389Onze referentie: 0G01J4143402Bijgevoegd vindt u een communicatie waarvan u in kopie staat."
24508489,72500881,80f49cb5-374d-4325-bde9-b0f14f1ed7d9,3,
24508680,72501165,PSII-326675679-01,8,
24509052,72501705,PSII-326682211-03,2,
24509919,72503490,6657b0de-c676-4572-9571-5a669cac077f,1,
24513111,72508381,PSII-326784635-04,2,
24514275,72510063,7668ef37-17ee-42ea-b71f-a1339dee258a,4,
24514278,72510069,9cc3a4c2-4dd4-4600-b677-48e9c81f7bd4,4,
24514281,72510072,fc203a4d-5348-49dc-8b60-1d86959d0d64,4,
24515236,72511278,b25a2dbd-fde5-4a9b-bf22-f2c094d68a0b,6,
24515464,72511573,bf652392-2542-4566-a5dd-4eb59cf209a9,1,
24515467,72511576,618953db-5e5b-4dd3-ab40-7ee97201c65f,1,
24515472,72511588,06411464-6655-472c-b7f2-81bacc56200d,1,
24516522,72513009,PSII-326816425-04,4,
24516648,72513213,292f9848-8bbb-418a-b717-705a591e5d80,1,
24516651,72513216,PSII-326819608-002,2,"Onderwerp: Geschil van Ct WorksOp datum van 30/05/2022 op het contract 010624087506Onze referentie: 0G01D9326502Bijgevoegd vindt u een communicatie waarvan u in kopie staat."
24517144,72514245,676d7c6c-bb2a-4de6-9d7b-e4b707df875b,1,
24517147,72514248,6e9781b1-09ab-4643-b88c-c50d49dac042,1,
24517153,72514257,8e4775e8-a280-49a9-a6cb-2346d47c77c0,1,
24517156,72514260,1df375fa-47a7-4dc0-af9b-90bf981a1778,1,
24517962,72515362,PSII-326848173-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24517977,72515389,PSII-326839785-001,1,"Onderwerp: Geschil van Celik 36Op datum van 30/11/2021 op het contract 010623858867Onze referentie: 0602J4591001Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24518367,72516151,PSII-326867943-01,8,
24518370,72516154,PSII-326868015-01,5,
24518373,72516157,PSII-326868085-01,8,
24518412,72516207,PSII-326868927-01,8,
24518415,72516210,PSII-326869363-01,8,
24518457,72516262,PSII-326869742-01,8,
24518536,72516363,PSII-326871062-01,8,
24518539,72516369,PSII-326871470-01,7,
24519094,72517126,PSII-326877484-01,8,
24519153,72517189,PSII-326877979-01,8,
24519358,72517518,PSII-326880623-01,8,
24519466,72517659,PSII-326881652-01,2,"We zenden u in bijlage één of meer documenten betreffende het contract"
24519502,72517722,PSII-326882552-01,2,"We zenden u in bijlage één of meer documenten betreffende het contract"
24519544,72517782,PSII-326883011-01,2,"We zenden u in bijlage één of meer documenten betreffende het contract"
24519619,72517894,PSII-326883778-01,2,"We zenden u in bijlage één of meer documenten betreffende het contract"
24519907,72518371,PSII-326887157-01,5,
24519942,72518617,PSII-326888248-01,5,
24520042,72518775,PSII-326889694-01,2,"We zenden u in bijlage één of meer documenten betreffende het contract"
24520083,72518829,PSII-326890439-01,8,
24520441,72519319,2134fb85-3cfe-4ec6-b23a-4626629950ff,4,
24520443,72519321,f3a458ae-ce31-47ba-a203-b3f476d34ee0,4,
24520446,72519324,34d26464-943a-4112-be6b-5b53638d248d,4,
24521121,72520272,9A2885F288954CA18326F8E81549ACB5,1,
24521176,72520368,146CE6A7631143999A01C3998D5083CB,1,
24521433,72521278,f29b9879-30ac-48f8-998f-169ad70dc5d9,6,
24521616,72521791,7cb870dd-43bc-4bd8-ac0e-2cd25aa14b34,1,
