schadecontract_id,risico_id,bestuurder_id
14179827,24741998,
14180018,23468641,
14180021,25751539,
14180250,25205635,
14180717,24667763,
14181852,25222144,
14182095,23868356,
14182185,23892701,
14184180,25610092,
14184867,26013566,
14185276,25240173,
14185554,25228717,
14185757,24818135,
14186300,24349313,
14186327,22634561,
14187617,24573962,
14188769,25206616,
14190958,25791363,
14191090,25791363,
14192236,23510931,
14192320,25206616,
14192611,24573962,
14192872,25228717,
14192953,25802309,
14193361,24885360,
14193937,24288202,
14194126,25610092,
14195305,25751539,
14198528,25751539,
14198896,24851262,
14199791,24473837,
14200133,22610808,
14200255,24517358,
14200948,25829999,
14201098,25174131,
14201266,25235356,
14201282,24878088,
14201677,25174131,
14202106,25205734,
14202217,24538349,
14202850,25802309,
14203384,25789670,
14203909,24895722,
14204832,25839014,
14205797,25826776,
14205993,24811905,
14206290,23272576,
14206752,25224309,
14206905,25751839,
14207174,24724622,
14208173,22637297,
14210591,25258131,
14210606,24851262,
14211269,25240363,
14212004,25271602,
14212025,25271602,
14213369,25838984,
14213990,23927075,
14214149,25829287,
14214301,22610808,
14214459,25371816,
14215929,24818135,
14216108,24715955,
14216129,20733722,
14216390,25369629,
14217639,23203352,
14217731,24664832,
14217843,24741998,
14217847,24741998,
14218929,25644558,
14218944,25828249,
14219118,24536830,
14220341,25814872,
14220553,24855579,
14220995,24685394,
14221125,25743163,
14221454,24421748,
14221506,25191156,
14221577,25829993,
14222361,25776048,
14222406,25821994,
14222871,24741998,
14223127,25889330,
14223129,24851262,
14223667,25802897,
14223946,24474919,
14224072,25192584,
14224115,25228717,
14225301,25828228,
14226347,24669110,
14226397,25751839,
14226399,25751839,
14226675,22581132,
14226691,24669956,
14227201,24874776,
14227243,25838981,
14227407,25249864,
14227890,25250373,
14228113,24350852,
14228247,25828228,
14228529,25227513,
14228695,22217607,
14228775,25682205,
14228991,23892471,
14228993,25249864,
14229555,25854053,
14230007,20814758,
14230311,23447515,
14230472,25174599,
14230750,25854053,
14230780,25840823,
14231321,25744138,
14231621,25194705,
14232031,25194453,
14232872,24894453,
14233085,25231494,
14233865,25762089,
14234436,24377737,
14235408,25290876,
14235423,23888652,
14235847,25845470,
14235868,25257597,
14236004,25290876,
14236030,25792143,
14236067,25189492,
14236092,25762086,
14236906,25762086,
14237561,25291834,
14238059,25906811,
14238569,25766465,
14238583,25751536,
14239015,25891715,
14239196,25962961,
14239435,24566537,
14239763,24544553,
14241011,25231494,
14241645,25906712,
14241700,24726443,
14242167,24501173,
14242869,25185957,
14243265,25923181,
