risico_id,kleur,eigendomstype,aantal_staanplaatsen,btw_vrijstelling,nummerplaattype,specialenummerplaat,inschrijvingsdatum,schrappingsdatum,terra,maxtoegelaten,maxtoegelatentrein,vloot,erkend_antidiefstal,antidiefstal1,antidiefstal2,antidiefstal3,automatic_emergency_braking,adaptive_cruise_control,lane_support,blind_spot_check,attention_assist,ecall,automatic_parking,parking_aid,km_per_jaar,co2_emissie
20714849,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714853,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714857,,1,5,0,,,0000-00-00,0000-00-00,0,0,0,0,1,12,,,0,0,0,0,0,0,0,0,,
20714861,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714865,,1,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714869,,1,3,0,,NM,0000-00-00,0000-00-00,0,3500,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714873,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714877,,1,7,0,,NM,0000-00-00,0000-00-00,0,3500,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714881,,1,3,0,,NM,0000-00-00,0000-00-00,0,3500,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714885,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714889,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714893,,1,3,0,,NM,0000-00-00,0000-00-00,0,3500,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714897,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714901,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714905,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714909,,1,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,
20714913,,1,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714921,,,2,0,,,0000-00-00,0000-00-00,0,3500,0,0,1,,,,0,0,0,0,0,0,0,0,,
