contract_id,maatschappij_id,maatschappij,afloopdatum,overgenomen,polisnummer,commentaar,ondernomen,bevestigd,mandaat
33686517,,,0000-00-00,0,,,,0,0
33686521,,,0000-00-00,0,,,,0,0
33686525,,,0000-00-00,0,,,,0,0
33686529,,,0000-00-00,0,,,,0,0
33686533,,,0000-00-00,0,,,,0,0
33686537,,,0000-00-00,0,,,,0,0
33686541,,,0000-00-00,0,,,,0,0
33686545,,,0000-00-00,0,,,,0,0
33687146,,,0000-00-00,0,,,,0,0
33687154,,,0000-00-00,0,,,,0,0
33687159,,,0000-00-00,0,,,,0,0
33688356,,58189233,0000-00-00,1,8B68145,,,0,0
33688876,,,0000-00-00,0,,,,0,0
33702766,,,0000-00-00,0,,,,0,0
33703579,,,0000-00-00,0,,,,0,0
33703690,,58189233,0000-00-00,1,3506728,,,0,0
33704074,,,0000-00-00,0,,,,0,0
33704079,,,0000-00-00,0,,,,0,0
33704087,,,0000-00-00,0,,,,0,0
33707499,,,0000-00-00,0,,,,0,0
33707532,,,0000-00-00,0,,,,0,0
33710108,,,0000-00-00,0,,,,0,0
33710112,,,0000-00-00,0,,,,0,0
33710120,,,0000-00-00,0,,,,0,0
33715867,,,0000-00-00,0,,,,0,0
33715870,,,0000-00-00,0,,,,0,0
33716038,,,0000-00-00,0,,,,0,0
33716067,,,0000-00-00,0,,,,0,0
33720898,,,0000-00-00,0,,,,0,0
33721959,,,0000-00-00,0,,,,0,0
33724828,,,0000-00-00,0,,,,0,0
33755319,,58243830,0000-00-00,1,27623359,,,0,0
33762224,,58189233,0000-00-00,1,5H37392,,,0,0
33763903,,,0000-00-00,0,,,,0,0
33763974,,,0000-00-00,0,,,,0,0
33763977,,,0000-00-00,0,,,,0,0
33763980,,,0000-00-00,0,,,,0,0
33763983,,,0000-00-00,0,,,,0,0
33763986,,,0000-00-00,0,,,,0,0
33763989,,,0000-00-00,0,,,,0,0
33763992,,,0000-00-00,0,,,,0,0
33763995,,,0000-00-00,0,,,,0,0
33763998,,,0000-00-00,0,,,,0,0
33764001,,,0000-00-00,0,,,,0,0
33764004,,,0000-00-00,0,,,,0,0
33764007,,,0000-00-00,0,,,,0,0
33764010,,,0000-00-00,0,,,,0,0
33764013,,,0000-00-00,0,,,,0,0
33764016,,,0000-00-00,0,,,,0,0
33764019,,,0000-00-00,0,,,,0,0
33764022,,,0000-00-00,0,,,,0,0
33764025,,,0000-00-00,0,,,,0,0
33764029,,,0000-00-00,0,,,,0,0
33764030,,,0000-00-00,0,,,,0,0
33764033,,,0000-00-00,1,3140414554,,,0,0
33764036,,,0000-00-00,0,,,,0,0
33764040,,,0000-00-00,0,,,,0,0
33764043,,,0000-00-00,0,,,,0,0
33764046,,,0000-00-00,0,,,,0,0
33764101,,,0000-00-00,0,,,,0,0
33764107,,,0000-00-00,0,,,,0,0
33764116,,,0000-00-00,0,,,,0,0
33764125,,,0000-00-00,0,,,,0,0
33766747,,,0000-00-00,0,,,,0,0
33766759,,,0000-00-00,0,,,,0,0
33766762,,,0000-00-00,0,,,,0,0
33766769,,,0000-00-00,0,,,,0,0
33766778,,,0000-00-00,0,,,,0,0
33766781,,,0000-00-00,0,,,,0,0
33766787,,,0000-00-00,0,,,,0,0
33766972,,,0000-00-00,0,,,,0,0
33767146,,,0000-00-00,0,,,,0,0
33767158,,,0000-00-00,0,,,,0,0
33767186,,,0000-00-00,0,,,,0,0
33767195,,,0000-00-00,0,,,,0,0
33767212,,,0000-00-00,0,,,,0,0
33767239,,,0000-00-00,0,,,,0,0
33767245,,,0000-00-00,0,,,,0,0
33767269,,,0000-00-00,0,,,,0,0
33767419,,,0000-00-00,0,,,,0,0
33769630,,,0000-00-00,0,,,,0,0
33769996,,,0000-00-00,0,,,,0,0
33770554,,,0000-00-00,0,,,,0,0
33772297,,,0000-00-00,0,,,,0,0
33774867,,58189233,0000-00-00,1,GA907085,,,0,0
33774895,,,0000-00-00,0,,,,0,0
33774899,,,0000-00-00,0,,,,0,0
33774901,,,0000-00-00,0,,,,0,0
33774903,,,0000-00-00,0,,,,0,0
33774905,,,0000-00-00,0,,,,0,0
33774909,,,0000-00-00,0,,,,0,0
33776430,,,0000-00-00,0,,,,0,0
33776446,,,0000-00-00,0,,,,0,0
33776454,,,0000-00-00,0,,,,0,0
33776458,,,0000-00-00,0,,,,0,0
33776502,,,0000-00-00,0,,,,0,0
33787290,,,0000-00-00,0,,,,0,0
33793025,,,0000-00-00,0,,,,0,0
33793054,,,0000-00-00,0,,,,0,0
33793070,,,0000-00-00,0,,,,0,0
33793078,,,0000-00-00,0,,,,0,0
33797736,,,0000-00-00,0,,,,0,0
33797737,,58189193,2014-02-01,1,31300447,,,0,0
33797760,,,0000-00-00,0,,,,0,0
33798180,,,0000-00-00,0,,,,0,0
33798184,,,0000-00-00,0,,,,0,0
33798686,,,0000-00-00,0,,,,0,0
33798845,,,0000-00-00,0,,,,0,0
33798854,,,0000-00-00,0,,,,0,0
33799739,,,0000-00-00,0,,,,0,0
33803993,,,0000-00-00,0,,,,0,0
33805870,,,0000-00-00,0,,,,0,0
33821863,,,0000-00-00,0,,,,0,0
33821875,,,0000-00-00,0,,,,0,0
33821889,,,0000-00-00,0,,,,0,0
33824038,,,0000-00-00,0,,,,0,0
33824062,,,0000-00-00,0,,,,0,0
33824066,,,0000-00-00,0,,,,0,0
33824104,,58189233,0000-00-00,1,9734135,,,0,0
33824108,,,0000-00-00,0,,,,0,0
33829838,,,0000-00-00,0,,,,0,0
33829841,,,0000-00-00,0,,,,0,0
33829844,,,0000-00-00,0,,,,0,0
33836555,,,0000-00-00,0,,,,0,0
33838832,,,0000-00-00,0,,,,0,0
33841989,,,0000-00-00,0,,,,0,0
33846187,,,0000-00-00,0,,,,0,0
33847923,,,0000-00-00,0,,,,0,0
33848975,,,0000-00-00,0,,,,0,0
33849002,,,0000-00-00,0,,,,0,0
33889096,,,0000-00-00,0,,,,0,0
33889099,,,0000-00-00,0,,,,0,0
33892469,,,0000-00-00,0,,,,0,0
33901792,,,0000-00-00,0,,,,0,0
33904639,,58190613,0000-00-00,1,AP00397418,"Migratie Baloise",,0,0
33908635,,,0000-00-00,0,,,,0,0
33909656,,,0000-00-00,0,,,,0,0
33909671,,,0000-00-00,0,,,,0,0
33909884,,,0000-00-00,0,,,,0,0
33909902,,,0000-00-00,0,,,,0,0
33916540,,,0000-00-00,0,,,,0,0
33917263,,,0000-00-00,0,,,,0,0
33918972,,,0000-00-00,0,,,,0,0
33918995,,,0000-00-00,0,,,,0,0
33919972,,,0000-00-00,0,,,,0,0
33924950,,,0000-00-00,0,,,,0,0
33925481,,,0000-00-00,0,,,,0,0
33925484,,,0000-00-00,0,,,,0,0
33925487,,,0000-00-00,0,,,,0,0
33934076,,,0000-00-00,0,,,,0,0
33936070,,,0000-00-00,0,,,,0,0
33940123,,,0000-00-00,0,,,,0,0
33940126,,,0000-00-00,0,,,,0,0
33940638,,,0000-00-00,0,,,,0,0
33940641,,,0000-00-00,0,,,,0,0
33940644,,,0000-00-00,0,,,,0,0
33942841,,,0000-00-00,0,,,,0,0
33942971,,,0000-00-00,0,,,,0,0
33943516,,58489552,0000-00-00,1,16618115,,,0,0
33947576,,,0000-00-00,0,,,,0,0
33947579,,,0000-00-00,0,,,,0,0
33952636,,,0000-00-00,0,,,,0,0
33952931,,,0000-00-00,0,,,,0,0
33953953,,,0000-00-00,0,,,,0,0
33953965,,,0000-00-00,0,,,,0,0
33966805,,,0000-00-00,0,,,,0,0
33966809,,,0000-00-00,0,,,,0,0
33966812,,,0000-00-00,0,,,,0,0
33970076,,,0000-00-00,0,,,,0,0
33970079,,,0000-00-00,0,,,,0,0
33983510,,,0000-00-00,0,,,,0,0
34026016,,,0000-00-00,0,,,,0,0
34026144,,,0000-00-00,0,,,,0,0
34026145,,,0000-00-00,0,,,,0,0
34026146,,,0000-00-00,0,,,,0,0
34028372,,,0000-00-00,0,,,,0,0
34028430,,,0000-00-00,0,,,,0,0
34028456,,,0000-00-00,0,,,,0,0
34031558,,,0000-00-00,0,,,,0,0
34034223,,,0000-00-00,0,,,,0,0
34034299,,,0000-00-00,0,,,,0,0
34034305,,,0000-00-00,0,,,,0,0
34034308,,,0000-00-00,0,,,,0,0
34034309,,,0000-00-00,0,,,,0,0
34034312,,,0000-00-00,0,,,,0,0
34034315,,,0000-00-00,0,,,,0,0
34034318,,,0000-00-00,0,,,,0,0
34034321,,,0000-00-00,0,,,,0,0
34034324,,,0000-00-00,0,,,,0,0
34035606,,,0000-00-00,0,,,,0,0
34035611,,,0000-00-00,0,,,,0,0
34036705,,,0000-00-00,0,,,,0,0
34036946,,,0000-00-00,0,,,,0,0
34038703,,,0000-00-00,0,,,,0,0
34152341,,,0000-00-00,0,,,,0,0
34180444,,,0000-00-00,0,,,,0,0
34180558,,,0000-00-00,0,,,,0,0
34184237,,,0000-00-00,0,,,,0,0
34187590,,,0000-00-00,0,,,,0,0
34187908,,,0000-00-00,0,,,,0,0
34188163,,,0000-00-00,0,,,,0,0
34213475,,,0000-00-00,0,,,,0,0
34213478,,,0000-00-00,0,,,,0,0
34213481,,,0000-00-00,0,,,,0,0
34243606,,58190609,0000-00-00,1,623522393,,,0,0
34248523,,,0000-00-00,0,,,,0,0
34248525,,,0000-00-00,0,,,,0,0
34365370,,,0000-00-00,0,,,,0,0
34378223,,,0000-00-00,0,,,,0,0
34385320,,,0000-00-00,0,,,,0,0
34398535,,58189193,0000-00-00,1,31549013,,,0,0
34410562,,58189193,0000-00-00,1,31549013,,,0,0
34560840,,,0000-00-00,0,,,,0,0
34560845,,,0000-00-00,0,,,,0,0
34574117,,,0000-00-00,0,,,,0,0
34575681,,,0000-00-00,0,,,,0,0
34579959,,,0000-00-00,0,,,,0,0
34579967,,,0000-00-00,0,,,,0,0
34581629,,,0000-00-00,0,,,,0,0
34581819,,,0000-00-00,0,,,,0,0
34586279,,,0000-00-00,0,,,,0,0
34587450,,,0000-00-00,0,,,,0,0
34587817,,,0000-00-00,0,,,,0,0
34587834,,,0000-00-00,0,,,,0,0
34587837,,,0000-00-00,0,,,,0,0
34587840,,,0000-00-00,0,,,,0,0
34587843,,,0000-00-00,0,,,,0,0
34588136,,,0000-00-00,0,,,,0,0
34588139,,,0000-00-00,0,,,,0,0
34588157,,,0000-00-00,0,,,,0,0
34588179,,,0000-00-00,0,,,,0,0
34588182,,,0000-00-00,0,,,,0,0
34592822,,,0000-00-00,0,,,,0,0
34593501,,,0000-00-00,0,,,,0,0
34594553,,,0000-00-00,0,,,,0,0
34594694,,,0000-00-00,0,,,,0,0
34595517,,,0000-00-00,0,,,,0,0
34595574,,,0000-00-00,0,,,,0,0
34595580,,,0000-00-00,0,,,,0,0
34595583,,,0000-00-00,0,,,,0,0
34595586,,,0000-00-00,0,,,,0,0
34601597,,,0000-00-00,0,,,,0,0
34659516,,,0000-00-00,0,,,,0,0
34661015,,,0000-00-00,0,,,,0,0
34666628,,,0000-00-00,0,,,,0,0
34666631,,,0000-00-00,0,,,,0,0
34666634,,,0000-00-00,0,,,,0,0
34668087,,,0000-00-00,0,,,,0,0
34670353,,,0000-00-00,0,,,,0,0
34673321,,,0000-00-00,0,,,,0,0
34673327,,,0000-00-00,0,,,,0,0
34677036,,,0000-00-00,0,,,,0,0
34677777,,,0000-00-00,0,,,,0,0
34678643,,,0000-00-00,0,,,,0,0
34678644,,,0000-00-00,0,,,,0,0
34758120,,,0000-00-00,0,,,,0,0
34758128,,,0000-00-00,0,,,,0,0
34772583,,,0000-00-00,0,,,,0,0
34772586,,,0000-00-00,0,,,,0,0
34772613,,,0000-00-00,0,,,,0,0
34772774,,,0000-00-00,0,,,,0,0
34773174,,,0000-00-00,0,,,,0,0
34773294,,,0000-00-00,0,,,,0,0
34773321,,,0000-00-00,0,,,,0,0
34773525,,,0000-00-00,0,,,,0,0
34907703,,,0000-00-00,0,,,,0,0
34907706,,,0000-00-00,0,,,,0,0
34908124,,,0000-00-00,0,,,,0,0
34909113,,,0000-00-00,0,,,,0,0
34909223,,,0000-00-00,0,,,,0,0
34917441,,,0000-00-00,0,,,,0,0
34919991,,,0000-00-00,0,,,,0,0
34925285,,,0000-00-00,0,,,,0,0
34927031,,,0000-00-00,0,,,,0,0
34927902,,,0000-00-00,0,,,,0,0
34931679,,,0000-00-00,0,,,,0,0
34938087,,,0000-00-00,0,,,,0,0
34941578,,58243830,0000-00-00,1,03/33189916,,,0,0
35466977,,,0000-00-00,0,,,,0,0
35466980,,,0000-00-00,0,,,,0,0
35466994,,,0000-00-00,0,,,,0,0
35467016,,,0000-00-00,0,,,,0,0
35467019,,,0000-00-00,0,,,,0,0
35467022,,,0000-00-00,0,,,,0,0
