bet_id,soort_vergoeding,waarde,max_periode
139116833,,0,0
139141634,,0,0
139141643,,0,0
139142360,,0,0
139142552,,0,0
139143668,,0,0
139144964,,0,0
139145056,,0,0
139145798,,0,0
139145801,,0,0
139146187,,0,0
139146208,,0,0
139147870,,0,0
139147958,,0,0
139148116,,0,0
139150033,,0,0
139150039,,0,0
139150093,,0,0
139150907,,0,0
139151513,,0,0
139151540,,0,0
139154092,,0,0
139157807,,0,0
139182115,,0,0
139182203,,0,0
139203374,,0,0
139205086,,0,0
139205303,,0,0
139205800,,0,0
139205803,,0,0
139206203,,0,0
139208591,,0,0
139256623,,0,0
139257119,,0,0
139258234,,0,0
139260746,,0,0
139261172,,0,0
139262516,,0,0
139262849,,0,0
139262852,,0,0
139263070,,0,0
139263890,,0,0
139264556,,0,0
139264690,,0,0
139264693,,0,0
139265470,,0,0
139265708,,0,0
139268699,,0,0
139270204,,0,0
139277591,,0,0
139277603,,0,0
139277626,,0,0
139277722,,0,0
139278470,,0,0
139278560,,0,0
139278686,,0,0
139278746,,0,0
139279205,,0,0
139279210,,0,0
139279553,,0,0
139280689,,0,0
139280695,,0,0
139281001,,0,0
139282063,,0,0
139282106,,0,0
139282124,,0,0
139282133,,0,0
139283009,,0,0
139283609,,0,0
139284022,,0,0
139284025,,0,0
139287455,,0,0
139287575,,0,0
139287602,,0,0
139287982,,0,0
139288111,,0,0
139288247,,0,0
139289231,,0,0
139289287,,0,0
139289492,,0,0
139290181,,0,0
139291142,,0,0
139291145,,0,0
139291166,,0,0
139291168,,0,0
139291420,,0,0
139293179,,0,0
139293512,,0,0
139293802,,0,0
139293848,,0,0
139293901,,0,0
139294088,,0,0
139295917,,0,0
139296908,,0,0
139296911,,0,0
139296956,,0,0
139298132,,0,0
139298665,,0,0
139298807,,0,0
139299764,,0,0
139300627,,0,0
139300642,,0,0
139301839,,0,0
139303004,,0,0
139303115,,0,0
139303673,,0,0
139304570,,0,0
139304908,,0,0
139306400,,0,0
139306474,,0,0
139307489,,0,0
139309289,,0,0
139310108,,0,0
139310111,,0,0
139310168,,0,0
139310317,,0,0
139310411,,0,0
139310843,,0,0
139311350,,0,0
139312757,,0,0
139312985,,0,0
139313039,,0,0
139314629,,0,0
139314881,,0,0
139315643,,0,0
139315861,,0,0
139315943,,0,0
139315984,,0,0
139317550,,0,0
139318114,,0,0
139319513,,0,0
139319522,,0,0
139319543,,0,0
139319734,,0,0
139319735,,0,0
139319774,,0,0
139321027,,0,0
139322810,,0,0
139323541,,0,0
139324178,,0,0
139324294,,0,0
139324517,,0,0
139325042,,0,0
139325948,,0,0
139327282,,0,0
139328195,,0,0
139330516,,0,0
139330519,,0,0
139330522,,0,0
139330706,,0,0
139330711,,0,0
139336843,,0,0
139336846,,0,0
139338241,,0,0
139340216,,0,0
139340336,,0,0
139341286,,0,0
139342138,,0,0
139342924,,0,0
139342940,,0,0
139343279,,0,0
139343842,,0,0
139344785,,0,0
139345040,,0,0
139345042,,0,0
139345067,,0,0
139345949,,0,0
139345952,,0,0
139346813,,0,0
139349662,,0,0
139349696,,0,0
139349717,,0,0
139349954,,0,0
139349957,,0,0
139351598,,0,0
139351643,,0,0
139352033,,0,0
139352261,,0,0
139352356,,0,0
139352710,,0,0
139354390,,0,0
139354454,,0,0
139375967,,0,0
139376809,,0,0
139376812,,0,0
139380094,,0,0
139380577,,0,0
139380589,,0,0
139381010,,0,0
139381097,,0,0
139381595,,0,0
