ft_id,fn_id,bet_id,contract_id,schade_id,nummer,datumtijd,plaintext,dropdown
9717267,10424,137149723,,,2024,,,
9717275,10424,137149705,,,2024,,,
9717313,10424,130714962,,,2020,,,
9717363,10424,137170271,,,2024,,,
9717377,10424,136534054,,,2020,,,
9717415,10424,126005253,,,2024,,,
9717423,10424,137937013,,,,,,
9717435,10424,126813141,,,2020,,,
9717443,10424,137033849,,,2024,,,
9717455,10424,135636655,,,2020,,,
9717463,10424,136885144,,,2024,,,
9717471,10424,128696121,,,2019,,,
9717479,10424,137149084,,,2024,,,
9717495,10424,137033942,,,2024,,,
9717503,10424,137149138,,,2023,,,
9717511,10424,126049393,,,2020,,,
9717519,10424,137149330,,,2023,,,
9717531,10424,126005461,,,2023,,,
9717539,10424,137149546,,,2024,,,
9717549,10424,126006984,,,,,,
9717557,10424,126005797,,,2020,,,
9717565,10424,136888838,,,,,,
9717581,10424,137149624,,,2021,,,
9717589,10424,126005833,,,2024,,,
9717693,10424,129395337,,,2024,,,
9717701,10424,126131165,,,,,,
9717899,10424,137937169,,,,,,
9718025,10424,137937369,,,,,,
9718061,10424,137015365,,,,,,
9718393,10424,126706697,,,2024,,,
9718401,10424,136904722,,,,,,
9718439,10424,137033701,,,,,,
9718447,10424,137033485,,,2024,,,
9718455,10424,126005713,,,2016,,,
9718465,10424,135074389,,,2024,,,
9718473,10424,127057421,,,,,,
9718481,10424,126223759,,,,,,
9718489,10424,129400959,,,2024,,,
9718497,10424,137170483,,,2024,,,
9718505,10424,126193883,,,2024,,,
9718513,10424,126005385,,,2023,,,
9718521,10424,126004721,,,2024,,,
9718529,10424,129399434,,,2019,,,
9718537,10424,126198136,,,,,,
9718545,10424,132599147,,,2023,,,
9718553,10424,137167984,,,2024,,,
9718563,10424,126194458,,,2024,,,
9718571,10424,129404412,,,2024,,,
9718579,10424,127815096,,,2019,,,
9718587,10424,126130988,,,2019,,,
9718595,10424,132839805,,,2024,,,
9718603,10424,126005901,,,2024,,,
9718611,10424,137153284,,,2024,,,
9718619,10424,126004609,,,2019,,,
9718627,10424,137149270,,,2024,,,
9718635,10424,126717513,,,2024,,,
9718643,10424,131620280,,,2022,,,
9718651,10424,129022821,,,,,,
9718659,10424,137153267,,,2017,,,
9718667,10424,129391959,,,2020,,,
9718675,10424,126027116,,,2023,,,
9718683,10424,137172256,,,2024,,,
