schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
12788443,112844497,36659035,,,
12800926,112857049,36897229,,,
12813670,112869724,33686069,,56600561,
12814882,112870696,33966805,,,
12871897,112927492,36462593,,,
12937783,112993405,36860615,,,
12946966,113002594,33925487,,62861509,
12948844,113004550,35933265,,,
12960884,113017013,36197021,,,
13021178,113082149,34588136,,,
13038805,113101012,33966805,,,
13556714,113101012,38282036,,73623940,
13047764,113110499,33686069,,56600561,
13048904,113111735,36832297,,,
13058078,113121602,34034305,,,
13058971,113122570,33684761,,52184516,
13089950,113155934,36837242,,,
13089997,113156002,35850819,,,
13095017,113161325,36794140,,,
13095093,113161403,36139175,,61182736,
13095757,113162065,35962146,,,
13095779,113162089,35634440,,,
13096167,113162477,36737566,,,
13098085,113164421,36741815,,,
13251823,113166515,35807031,,,
13100179,113166551,36912664,,,
13352325,113166551,35873765,,69674254,
13100823,113167197,33685585,,,
13101347,113167729,34026145,,,
13101571,113167957,33774901,,,
13101581,113167975,36153749,,,
13102249,113168503,34595574,,,
13103239,113169271,36794140,,,
13105577,113170871,33686517,,54429228,
13105753,113171059,33892469,,58055234,
13106325,113171643,34661015,,,
13107391,113172754,35946467,,,
13108467,113173866,33685561,,,
13109529,113174979,35970540,,59631772,
13118551,113174979,34588179,,66268550,
13122741,113174979,36111668,,60925242,
13109835,113175315,36978149,,,
13110972,113176461,33686161,,52215164,
13111711,113177206,36006726,,,
13111734,113177238,33686049,,55863802,
13112850,113178429,36903304,,,
13114194,113179824,33892469,,58055234,
13114800,113180424,36973789,,,
13114861,113180494,36860615,,,
13114963,113180596,36737557,,,
13116838,113182513,36969407,,,
13117380,113183100,36737572,,,
13119652,113185510,33847923,,,
13119825,113185710,36888667,,,
13120192,113186092,37008720,,,
13120239,113186142,36111668,,,
13120251,113186154,35634440,,,
13120735,113186677,34588139,,,
13120843,113186788,36847622,,,
13121677,113187604,34378223,,,
13121925,113187885,36845320,,,
13123485,113189481,36793495,,,
13464222,113190048,33686517,,54429228,
13124259,113190255,37038931,,,
13135851,113202771,34588179,,66268550,
13135857,113202777,35616978,,,
13136059,113203003,35873765,,60589434,
13136161,113203102,36837242,,,
13136176,113203120,35955195,,,
13136809,113203804,33686385,,,
13147678,113214811,36917020,,,
13148898,113216058,33704087,,,
13149642,113216802,35865975,,,
13150236,113217399,33686069,,56600561,
13213067,113217399,34677777,,56481779,
13777780,113217399,39281411,,74126701,
13159981,113227963,33685849,,,
13160136,113228124,36033000,,,
13160408,113228394,36823411,,,
13160688,113228664,35946449,,,
13161134,113229128,35466977,,,
13161140,113229134,33889096,,,
13162233,113230215,35982320,,,
13163463,113231505,35971743,,,
13168548,113237043,36507171,,,
13171140,113239821,34601597,,,
13180728,113249652,36984889,,,
13210761,113279979,36716504,,,
13211622,113280834,36071516,,,
13213070,113282174,35477877,,56889490,
13216103,113285324,36932783,,,
13216326,113285556,36956902,,,
13218952,113288156,36932783,,66568578,
13228626,113298657,36176855,,68591725,
13229244,113299308,36913736,,,
13229284,113299342,34036946,,,
