contract_id,leningstype,ontleend_bedrag,terugbetalingstype,duur_overeenkomst,formule,intrestvoet,intrestvoet_periodiciteit,mensualiteit,doel,type_akte,herzieningstype,datum_herziening,initiele_duur_vastheid,overbruggingskrediet,lopende_opname,geleende_quotiteit,referte_index,referte_index_periodiciteit,referte_index_type,periode_vooropname,periode_vooropname_periodiciteit,cap_plus,cap_min,waarborgen
34084681,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084684,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084687,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084690,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084693,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084696,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084699,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084702,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34085105,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34085107,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34122424,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34122436,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34122451,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34122463,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34122466,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34183165,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34213483,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34225893,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34266052,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34439644,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34493584,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34500250,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34573542,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34575702,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34579932,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34581081,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34587828,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
