waarborg_id,uitkeringsdatum_kapitaal_leven,datum_waardering_reserve,fiscaliteit_levensverzekeringspremie,fiscaal_regime_vd_prestaties,oorsprong_der_premiebetaling,contract_genereert_winstdeelname,contract_onderhevig_aan_perequatie,onderworpenheid_vd_prestatie,voorschot_op_polis,kapitaal_bij_leven,kapitaal_bij_overlijden,verworven_winstdeelname_bij_leven,verworven_winstdeelname_bij_overlijde,toekenning_winstdeelname_vh_jaar,waarde_vd_reserve,type_std_begunstigde_bij_leven,begunstigde_std_heeft_contractvdl_aanv_bleven,type_std_begunstigde_bij_overlijde,begunstigde_std_heeft_contractvdl_aanv_boverlijde,jaarlijkse_rente_levensv,gewaarborgde_rentevoet_leven,kapitaal
91615674,2047-04-01,0000-00-00,,,01,0,0,0,0,0.00,545000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
92582295,0000-00-00,2023-12-31,,,,0,0,0,0,0.00,227707.31,0.00,0.00,0.00,0.00,,0,5,1,0.00,0.25,0.00
93426676,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,5000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93426682,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
93886424,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886427,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886430,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886433,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886541,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886544,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886547,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93886550,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
93897644,2054-01-01,0000-00-00,,,01,1,0,0,0,0.00,150000.00,0.00,0.00,0.00,0.00,1,0,4,0,0.00,0.00,0.00
93897662,2055-12-01,0000-00-00,,,01,1,0,0,0,0.00,150000.00,0.00,0.00,0.00,0.00,1,0,7,0,0.00,0.00,0.00
94012651,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,42000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94065788,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94065791,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94065794,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94065797,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94077692,2050-06-01,0000-00-00,,,01,1,0,0,0,0.00,50000.00,0.00,0.00,0.00,0.00,1,0,4,0,0.00,0.00,0.00
94094987,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94094990,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94094993,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94094996,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94160377,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,32000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94180955,2052-04-01,0000-00-00,,,01,1,0,0,0,0.00,19200.00,0.00,0.00,0.00,0.00,1,0,4,0,0.00,0.00,0.00
94911026,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
94911029,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
