risico_id,nummerplaat,merk,merkcode,model,modelcode,typevoertuig,gebruik,chassis,pvg,eupvg,adr,bouwjaar,vermogen,vermogen_eenheid,aandrijving,brandstof,aantal_deuren,cabrio,sportwagen,terreinwagen,coupe,financiering,cataloguswaarde,catalogusmetbtw,biv,teverzekeren,toebehoren,isbestuurder,in_rust,bonus_malus,bonus_malus_aangepast,ingebruikstelling,cilinder,zitplaatsen,stalling,modeljaar,febiacid,tweedehands,facturatiewaarde
20714709,1WDM672,VOLKSWAGEN,,CC,,VP,12,WVWZZZ3CZEE518824,,,,2014,100,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2014-07-24,0,5,0,,,0,
20714713,1NLK318,VOLVO,,V70,,VP,12,YV1BW694081029057,,E9*2001/116*0065*,,2008,120,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-1,2020-09-24,2008-03-01,0,5,0,,,0,
20714717,1VVC517,FIAT,,DOBLO,,,64,ZFA22300005624124,,,,0,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2008-05-30,0,3,0,,,0,
20714721,1WCC213,MERCEDES,,SPRINTER,,CT,31,WDB9066131S642600,U94645,,,2012,90,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2012-01-10,0,3,0,,,0,
20714725,1KHJ099,SEAT,,ALTEA,,VP,12,VSSZZZ5PZ6R044726,414311,E9*2001/116*0050*,,2006,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2006-01-05,0,5,0,,,0,
20714729,1FHI941,SUZUKI,,SWIFT,,VP,12,TSMNZC72S00431686,,,,2014,69,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2014-02-17,0,4,0,,,0,
20714733,1WFM142,BMW,,SERIE-5,,VP,12,WBA5N41090D873071,,,,2014,190,1,,2,0,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2014-10-08,0,5,0,,,0,
20714737,1NSK887,MERCEDES,,"SERIE E",,VP,12,WDD2120051A072533,,,,2009,100,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2009-08-24,0,4,0,,,0,
20714741,1WFR629,AUDI,,A6,,,12,WAUZZZ4G3DN058523,,,,0,130,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2012-10-08,0,5,0,,,0,
20714745,1WFX361,RENAULT,,CLIO,,VP,12,VF1BR1F0H38278176,411239,,,2014,63,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2014-05-12,0,5,0,,,0,
20714749,MABG936,PIAGGIO,,"MOTORFIETS / MOTOCYCLETTE",,L3,12,ZAPM4530100002855,,,,2015,0,,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2015-03-16,124,0,0,,,0,
20714753,1LRA103,NISSAN,,QASHQAI,,VP,12,SJNFEAJ11U2228103,,,,2018,85,1,,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-1,2020-07-17,2018-05-02,0,5,0,,,0,
20714757,1TQM992,AUDI,,A1,,VP,12,WAUZZZ8X0EB017974,,,,2013,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-1,2020-01-31,2013-07-24,0,5,0,,,0,
20714761,1WJC786,FORD,,FOCUS,,VP,11,WF0NXXGCHNJM89133,,,,2018,92,1,,1,0,0,0,0,0,1,15280.99,0.00,0.00,15280.99,0.00,0,0,0,0000-00-00,2018-12-04,0,4,0,,,0,
20714765,1CGB937,"ALFA ROMEO",,GIULIETTA,,VP,12,ZAR94000007203866,,,,2013,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2013-06-28,0,5,0,,,0,
20714773,1WHY089,FIAT,,DOBLO,,,64,ZFA26300006D32619,,,,0,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,4,2020-01-29,2016-12-14,0,3,0,,,0,
20714777,1WHX984,OPEL,,VIVARO,,,64,W0LF7AHA69V619026,,,,0,84,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,4,2020-01-29,2009-03-13,0,3,0,,,0,
20714785,H-OZC,MERCEDES,,CLA250,,VP,12,WDD1183461N005237,,,,0,165,1,,1,0,0,0,0,0,0,39891.00,0.00,0.00,39891.00,0.00,0,0,-2,2020-02-11,2019-06-24,0,5,0,,,0,
20714789,1WHY571,FIAT,,DOBLO,,,64,ZFA26300006D20312,,,,0,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,4,2020-01-29,2016-12-01,0,3,0,,,0,
20714793,1WHY552,PEUGEOT,,EXPERT,,,64,VF3VFAHKHHZ105551,,,,0,88,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,4,2020-01-29,2018-02-01,0,3,0,,,0,
20714797,1WLG511,OPEL,,COMBO,,,64,W0L6WYC1AF9556499,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,15088.00,0.00,1,0,4,2020-01-29,2017-08-04,0,3,0,,,0,
20714801,1WLR462,VOLKSWAGEN,,SHARAN,,,12,WVWZZZ7NZBV026430,,,,0,100,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-2,2020-01-29,2011-03-02,0,5,0,,,0,
20714805,1WKS516,OPEL,,VIVARO,,,64,W0LF7AHA68V660218,,,,0,84,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,4,2020-01-29,2008-06-26,0,3,0,,,0,
20714809,1VVC517,FIAT,,DOBLO,,,64,ZFA22300005624124,,,,0,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,4,2020-01-29,2008-05-30,0,3,0,,,0,
20714813,1SRK406,MERCEDES,,"SERIE GLK",,VP,12,WDC2049021F474731,413244,,,2010,120,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-2,2020-07-03,2010-08-05,0,5,0,,,0,
20714817,1WFR629,AUDI,,A6,,,12,WAUZZZ4G6GN034429,,,,0,200,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2015-06-29,0,5,0,,,0,
20714821,1WQC589,RENAULT,,KANGOO,,VP,12,VF1FW14C549760595,,,,2013,55,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-31,2013-11-27,0,2,0,,,0,
