waarborg_id,bm_toegepast,bm_referte,bm_vorige
92959515,-2,-2,
93001455,1,,1
93001971,3,3,
93001995,11,11,
93002043,6,,
93002089,0,0,
93002308,0,0,
93002544,-2,-2,
93002733,11,11,
93022662,-2,,-2
93029004,-2,-2,
93038346,-2,-2,
93039481,11,11,
93042522,11,11,
93043375,0,0,
93072783,11,11,
93083587,10,,10
93083688,11,,11
93103884,9,9,
93120420,3,3,
93132348,-2,-2,
93135469,0,0,
93137244,5,5,
93142417,-2,,-2
93142423,0,,0
93157030,0,,0
93227511,0,,
93228879,-2,,-2
93228885,0,,0
93232354,-2,,
93232362,3,,3
93237064,0,0,
93250414,-2,-2,
93250839,-2,-2,
93263899,-2,,-2
93263905,0,,0
93278533,0,0,
93326208,6,,7
93327151,8,,9
93327157,8,,9
93337140,-2,-2,
93366846,0,0,
93389848,-2,,-2
93406393,-2,,
93406399,0,,
93417030,11,11,
93417057,-2,,
93417069,-2,,
93417081,-2,,
93417093,-2,,
93417525,8,,8
93417531,6,,6
93419520,-2,,-2
93459250,6,6,
93466920,8,,8
93488526,-2,,-2
93535014,12,,
93584939,8,8,
93609811,-2,,-2
93613258,-2,,-2
93613264,0,,0
93641285,-2,-2,
93689447,-1,-1,
93717419,-2,-2,
93717437,11,11,
93735208,-2,,-2
93750310,1,,1
93751184,-2,,-2
93752728,-2,-2,
93764150,10,10,
93764186,5,5,
93764207,0,0,
93784097,11,,
93790291,-2,-2,
93790297,11,11,
93797987,5,5,
93799202,-2,-2,
93811156,9,9,
93817397,5,5,
93886421,11,11,
93911918,-2,-2,
93914254,7,7,
93983704,11,11,
93985412,0,0,
93986399,6,6,
94030226,-2,-2,
94041274,0,0,
94046896,4,4,
94046929,4,4,
94047158,4,4,
94047325,4,4,
94047340,5,5,
94066522,11,11,
94091960,-2,,-2
94094972,-1,-1,
94127209,6,6,
94135088,0,0,
94160708,11,11,
94169261,11,11,
94187099,8,,
94198384,0,0,
94199207,11,11,
94270036,0,0,
94281658,10,10,
94286111,-2,-2,
94286159,5,5,
94291541,6,,6
94298587,-2,-2,
94305203,0,,
94305209,0,,
94327522,-2,-2,
94328183,0,,0
94328189,0,,
94341670,5,,5
94341676,3,,3
94341685,4,,4
94341691,1,,1
94341700,10,,10
94341706,8,,8
94345859,5,,5
94345865,4,,4
94345868,10,,10
94347403,3,,3
94347415,1,,1
94347424,-2,,-2
94347430,0,,0
94351202,-2,,-2
94351208,0,,0
94351229,-2,,-2
94351235,0,,0
94351247,-2,,-2
94351253,0,,0
94359838,4,,4
94360378,10,10,
94360381,-2,,-2
94360387,0,,0
94360868,11,11,
94366864,0,,1
94373512,10,10,
94373632,11,11,
94375579,6,6,
94387249,11,11,
94399664,-2,,-2
94401410,1,,1
94408694,-2,,-2
94408700,0,,0
94421419,-2,-2,
94421683,11,11,
94446605,4,,4
94480249,-2,,-2
94480255,0,,0
94483898,0,,0
94486223,4,4,
94500740,11,11,
94521953,-2,,-2
94521959,0,,0
94569515,-1,-1,
94613789,-2,,
94613795,0,,0
94613810,-2,-2,
94615598,10,10,
94625150,-2,-2,
94628165,0,,0
94647892,10,10,
94648003,5,,
94657772,11,11,
94691653,-2,-2,
94694798,11,11,
94696028,6,6,
94720105,11,11,
94760309,-2,,-2
94760315,0,,0
94768588,11,11,
94777607,11,,11
94785680,0,,
94789982,11,,11
94790006,-2,,-2
94790015,1,1,
94795615,6,6,
94795624,6,6,
94795633,6,6,
94795699,5,5,
94795741,5,5,
94795813,5,5,
94795936,5,5,
94799255,-2,,-2
94818965,-2,,-2
94851200,-2,-2,
94864706,8,8,
94905962,-2,-2,
94906625,10,10,
94911500,9,,9
94912607,5,5,
94913405,3,,4
94913411,3,,4
94937134,11,11,
94937149,11,11,
94941797,-2,,-2
94941809,-2,,-2
94966118,9,,9
94980932,0,0,
94982855,0,,
94988644,11,11,
94989784,-2,,-2
94989790,0,,0
94990430,0,,0
94990436,0,,0
95007359,-2,,-2
95007365,0,,0
95021393,0,0,
