schade_id,address_id,omstandigheden,omstandigheden_code,aansprakelijkheid,aansprakelijkheid_percent,materiele_schade,lichamelijke_schade,getuigen,schade_verzekerde,schade_derde
109763468,38509340,,536,1,0,0,0,0,0.00,0.00
109785530,38539679,,536,1,0,0,0,0,0.00,0.00
109809443,38617982,,501,1,0,0,0,0,0.00,0.00
109835891,,,0,,0,0,0,0,0.00,0.00
109911408,,,536,1,0,0,0,0,0.00,0.00
109953366,38772143,,0,1,0,0,0,0,0.00,0.00
109987001,38695577,,501,1,0,0,0,0,0.00,0.00
110095761,38845260,"lek boiler",0,,0,0,0,0,0.00,0.00
110177456,,,0,1,0,0,0,0,0.00,0.00
110228175,38886006,,536,1,0,0,0,0,0.00,0.00
110228178,38886012,,536,1,0,0,0,0,0.00,0.00
110228444,,"Providis ",0,3,0,0,0,0,0.00,0.00
110228603,38894405,,501,1,0,0,0,0,0.00,0.00
110229044,,,0,,0,0,0,0,0.00,0.00
110230544,38894744,,342,1,0,0,0,0,0.00,0.00
110231141,,,0,,0,0,0,0,0.00,0.00
110231418,,,0,,0,0,0,0,0.00,0.00
110240283,,,0,,0,0,0,0,0.00,0.00
110242728,,,0,,0,0,0,0,0.00,0.00
110307758,39136955,"2 bomen omgevallen en dakpaneel eraf gevlogen + dakrandbeschadigd",0,,0,0,0,0,0.00,0.00
110310542,,"schade klant allerlei zaken",0,,0,0,0,0,0.00,0.00
110310596,,,0,,0,0,0,0,0.00,0.00
110311736,,,528,3,0,0,0,0,0.00,0.00
110360652,43136230,,998,1,0,0,0,0,0.00,0.00
110376695,39062156,"snelheidsovertreding Wachtebeke",0,,0,0,0,0,0.00,0.00
110378285,,,528,,0,0,0,0,0.00,0.00
110424092,,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.onbekend - aangifte via garage",0,1,0,0,0,0,0.00,0.00
110438400,39279330,,0,1,0,0,0,0,0.00,0.00
110460537,,"VZ diende kabelgoten te boren in vloer -> schade aan plafonderronder",0,,0,0,0,0,0.00,0.00
110460921,,,0,,0,0,0,0,0.00,0.00
110563101,39299675,,528,3,0,0,0,0,0.00,0.00
110563494,,"Vz reed tegen paal",0,1,0,0,0,0,0.00,0.00
110609036,,"Schade dakgoot --- Vliegenstraat 28, 2060 Antwerpen",0,,0,0,0,0,0.00,0.00
110609147,39377663,"dakgoot - regenpijpTH - eig uitb nbw",0,,0,0,0,0,0.00,0.00
110729838,39599853,,528,3,0,0,0,0,0.00,0.00
110729844,,"rdr v t? bij kruisen elkaar geraakt",219,3,0,0,0,0,0.00,0.00
110733558,39440172,,0,,0,0,0,0,0.00,0.00
110770418,39429638,,536,1,0,0,0,0,0.00,0.00
110786495,,"Foutief maneuver van Y, dat in oorzakelijk verband staat met het ongevalTp verliet parking en reed tegen vz die op hoofdbaan reed",0,3,0,0,0,0,0.00,0.00
110787447,39926651,,0,,0,0,0,0,0.00,0.00
110824929,39475455,,501,1,0,0,0,0,0.00,0.00
110841551,,"Voertuig X staat geparkeerd of staat stil.vz tegen gepark derde.",0,1,0,0,0,0,0.00,0.00
110843118,,,0,,0,0,0,0,0.00,0.00
110849109,,,0,,0,0,0,0,0.00,0.00
110849300,39496283,,0,,0,0,0,0,0.00,0.00
110874387,39520623,,507,3,0,0,0,0,0.00,0.00
110888330,39542220,"Tp heeft waterschade. Zijn van mening dat dit afkomstig is van vze. Vze betwist! tp heeft geen dakgoot",0,3,0,0,0,0,0.00,0.00
110917556,,,357,3,0,0,0,0,0.00,0.00
110917722,,"Tp heeft waterschade. Zijn van mening dat dit afkomstig is van vze. Vze betwist! tp heeft geen dakgoot",0,,0,0,0,0,0.00,0.00
110917917,,,0,,0,0,0,0,0.00,0.00
110929734,39599517,,0,3,0,0,0,0,0.00,0.00
110930700,,,528,,0,0,0,0,0.00,0.00
110930975,,,0,,0,0,0,0,0.00,0.00
110931303,43321235,,998,1,0,0,0,0,0.00,0.00
110968144,39712960,"Wanneer op 1eV water gebruikt wordt, druppelt het uit het plafond op het gkvl. (eig-bew)-> Vraagt lekzoek",0,,0,0,0,0,0.00,0.00
111040492,,"Voertuig Y rijdt op of over de middenlijn.tgp slaat links af en raakt vtg tgp dewelke zijn wegvervolgt op kp",0,1,0,0,0,0,0.00,0.00
111040528,39843304,,339,3,0,0,0,0,0.00,0.00
111060697,,"Stilstaand en geparkeerd voertuig van onze klant werd aangereden door een onbekende derde --- Omnium",507,3,0,0,0,0,0.00,0.00
111060728,39845671,,501,1,0,0,0,0,0.00,0.00
111072127,,,0,,0,0,0,0,0.00,0.00
111107158,39843496,"Aanrijding tegenligger spiegels",998,,0,0,0,0,0.00,0.00
111107395,,,536,1,0,0,0,0,0.00,0.00
111116497,,Waterschade,0,,0,0,0,0,0.00,0.00
111117790,39869449,,0,1,0,0,0,0,0.00,0.00
111125020,43579838,,0,2,0,0,0,0,0.00,0.00
111166664,39869432,,574,1,0,0,0,0,0.00,0.00
111193600,,,0,,0,0,0,0,0.00,0.00
111205486,39889837,,574,1,0,0,0,0,0.00,0.00
111218227,39899611,,301,1,0,0,0,0,0.00,0.00
111218950,,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.vzk reed tgp achteraan aan",0,1,0,0,0,0,0.00,0.00
111239836,,"Tegenstrijdige verklaringen: vze beweert dat tgp vanrijstrook veranderde, tgp beweert andersom.(-> RUG-A-RUG)",0,,0,0,0,0,0.00,0.00
111239936,39933637,,528,3,0,0,0,0,0.00,0.00
111240184,,"besnijding Civrilli Isa Ibrahim",0,,0,0,0,0,0.00,0.00
111264289,39934702,"verzekerde stond geparkeerd --- in recht",507,3,0,0,0,0,0.00,0.00
111264799,,"V moest onderhoud aan wagen uitvoeren. Onderhoud was nog niet afgerond (remdruk moest nog in orde gebracht worden) maarT vertrok toch en botste met 2 andere wagens.",0,,0,0,0,0,0.00,0.00
